SKU_ID,Category,Hub,Avg_Daily_Demand,Lead_Time_Days,Current_Stock,Unit_Cost,Stock_Aging_Days,Replenishment_Cycle_Days,Book_to_Ship_Days,Book_to_Deliver_Days,Demand_StdDev,Safety_Stock,Reorder_Point
MYT-SKU-00022,Apparel,HongKong,12.64,19,918,388.56,150,28,2,3,3.2,23.01,263.17
MYT-SKU-00023,Apparel,HongKong,12.95,21,716,325.17,203,14,0,7,4.343,32.84,304.79
MYT-SKU-00024,Apparel,Leipzig,7.35,5,400,294.95,65,28,1,3,2.529,9.33,46.08
MYT-SKU-00025,Apparel,Munich,7.44,5,380,439.17,284,21,4,8,3.437,12.68,49.88
MYT-SKU-00026,Bags,Leipzig,10.62,6,500,53.68,220,7,3,5,4.502,18.2,81.92
MYT-SKU-00027,Apparel,HongKong,4.61,20,285,226.85,269,7,2,7,1.857,13.7,105.9
MYT-SKU-00028,Apparel,Munich,8.54,4,144,331.42,328,21,2,3,4.282,14.13,48.29
MYT-SKU-00029,Footwear,Leipzig,5.36,4,371,246.08,108,14,4,11,2.102,6.94,28.38
MYT-SKU-00030,Apparel,HongKong,13.02,21,503,152.36,233,14,3,5,4.048,30.61,304.03
MYT-SKU-00031,Footwear,Leipzig,5.65,8,243,23.48,345,21,4,6,3.458,16.14,61.34
MYT-SKU-00032,Apparel,Leipzig,8.65,8,528,297.62,284,28,2,5,4.167,19.45,88.65
MYT-SKU-00033,Apparel,Munich,7.22,3,242,391.1,132,28,4,10,2.349,6.71,28.37
MYT-SKU-00034,Accessories,Munich,4.43,5,285,326.63,213,7,4,5,2.597,9.58,31.73
MYT-SKU-00035,Accessories,HongKong,4.43,19,109,34.37,186,21,4,9,2.86,20.57,104.74
MYT-SKU-00036,Bags,Munich,8.49,5,541,510.46,348,7,2,6,3.857,14.23,56.68
MYT-SKU-00037,Apparel,Munich,8.52,3,586,335.03,76,14,0,1,2.839,8.11,33.67
MYT-SKU-00038,Apparel,NewJersey,7.49,10,505,302.54,145,7,3,6,2.845,14.84,89.74
MYT-SKU-00039,Footwear,Munich,6.71,7,490,269.97,70,21,2,4,2.526,11.03,58.0
MYT-SKU-00040,Apparel,NewJersey,8.23,9,442,319.23,188,28,0,2,3.604,17.84,91.91
MYT-SKU-00041,Apparel,NewJersey,5.99,11,478,264.35,364,14,3,5,2.802,15.33,81.22
MYT-SKU-00042,Apparel,Munich,5.83,7,190,221.85,303,28,4,6,3.502,15.29,56.1
MYT-SKU-00043,Apparel,Munich,5.55,3,243,246.93,340,21,0,3,2.379,6.8,23.45
MYT-SKU-00044,Accessories,HongKong,8.97,22,778,43.57,219,7,1,8,3.979,30.79,228.13
MYT-SKU-00045,Apparel,Leipzig,9.24,8,685,242.19,299,7,3,6,2.657,12.4,86.32
MYT-SKU-00046,Footwear,Munich,5.15,6,364,320.18,244,14,0,4,2.33,9.42,40.32
MYT-SKU-00047,Apparel,HongKong,7.69,21,526,228.25,130,7,3,10,3.196,24.17,185.66
MYT-SKU-00048,Apparel,Munich,3.81,4,89,255.96,117,14,4,8,1.889,6.23,21.47
MYT-SKU-00049,Apparel,NewJersey,7.96,10,687,346.65,155,14,1,6,3.785,19.75,99.35
MYT-SKU-00050,Apparel,Munich,10.12,5,374,73.91,300,14,0,1,4.205,15.51,66.11
MYT-SKU-00051,Accessories,Munich,3.78,6,98,340.44,341,7,2,9,2.727,11.02,33.7
MYT-SKU-00052,Bags,Munich,4.61,4,76,281.0,106,7,3,9,2.561,8.45,26.89
MYT-SKU-00053,Accessories,NewJersey,4.04,10,178,356.08,140,14,0,1,2.23,11.64,52.04
MYT-SKU-00054,Bags,Leipzig,9.23,7,604,173.15,296,14,4,9,2.714,11.85,76.46
MYT-SKU-00055,Footwear,HongKong,8.63,19,383,359.82,250,14,3,6,3.9,28.05,192.02
MYT-SKU-00056,Accessories,Leipzig,2.22,5,168,358.67,236,7,0,1,1.801,6.64,17.74
MYT-SKU-00057,Apparel,Munich,9.22,4,264,152.71,356,7,4,5,2.494,8.23,45.11
MYT-SKU-00058,Apparel,Munich,5.51,3,153,360.66,132,14,3,9,2.121,6.06,22.59
MYT-SKU-00059,Apparel,Leipzig,5.91,7,207,66.26,227,7,4,8,2.336,10.2,51.57
MYT-SKU-00060,Apparel,Leipzig,8.23,7,157,366.54,231,14,0,5,3.856,16.83,74.44
MYT-SKU-00061,Apparel,Leipzig,6.79,4,529,76.15,7,14,0,6,3.816,12.59,39.75
MYT-SKU-00062,Apparel,Munich,7.08,4,178,443.68,299,21,2,7,3.692,12.18,40.5
MYT-SKU-00063,Bags,NewJersey,6.96,9,303,430.81,360,21,4,8,3.515,17.4,80.04
MYT-SKU-00064,Apparel,Munich,7.3,5,363,354.38,336,28,3,5,2.78,10.26,46.76
MYT-SKU-00065,Apparel,NewJersey,7.3,9,238,258.78,131,14,3,4,2.954,14.62,80.32
MYT-SKU-00066,Apparel,Munich,4.79,7,390,265.52,18,7,2,5,3.061,13.36,46.89
MYT-SKU-00067,Apparel,Leipzig,7.75,7,544,223.49,161,14,1,6,3.208,14.0,68.25
MYT-SKU-00068,Bags,Munich,5.11,4,87,116.1,189,21,2,5,3.132,10.34,30.78
MYT-SKU-00069,Apparel,Leipzig,9.86,5,472,131.11,80,7,3,5,3.858,14.23,63.53
MYT-SKU-00070,Accessories,Leipzig,9.56,6,242,421.9,344,21,4,5,3.47,14.02,71.38
MYT-SKU-00071,Bags,Leipzig,5.07,5,319,280.35,132,14,2,4,2.387,8.81,34.16
MYT-SKU-00072,Apparel,Leipzig,9.22,6,479,36.63,115,28,4,7,2.454,9.92,65.24
MYT-SKU-00073,Apparel,HongKong,9.16,21,693,361.25,336,7,1,7,4.517,34.15,226.51
MYT-SKU-00074,Bags,Leipzig,4.66,7,309,519.08,138,28,3,8,3.052,13.32,45.94
MYT-SKU-00075,Footwear,HongKong,6.47,21,494,146.69,57,7,1,3,2.066,15.62,151.49
MYT-SKU-00076,Footwear,Munich,6.08,6,491,174.56,79,21,4,8,2.458,9.93,46.41
MYT-SKU-00077,Bags,Leipzig,2.86,6,82,363.47,229,7,1,3,1.712,6.92,24.08
MYT-SKU-00078,Apparel,Leipzig,6.28,4,369,74.48,230,28,0,4,2.592,8.55,33.67
MYT-SKU-00079,Apparel,Leipzig,7.85,7,211,446.62,246,7,4,7,2.814,12.28,67.23
MYT-SKU-00080,Apparel,Leipzig,7.46,8,248,177.56,81,14,2,6,3.949,18.43,78.11
MYT-SKU-00081,Bags,Munich,7.3,3,234,620.35,237,7,4,6,3.465,9.9,31.8
MYT-SKU-00082,Footwear,Munich,8.72,5,362,374.82,117,14,2,8,3.595,13.26,56.86
MYT-SKU-00083,Apparel,Munich,5.79,7,429,128.14,2,14,1,5,2.653,11.58,52.11
MYT-SKU-00084,Apparel,Munich,5.17,6,201,46.7,273,28,3,10,2.922,11.81,42.83
MYT-SKU-00085,Apparel,Leipzig,8.69,8,616,208.12,115,21,0,4,3.637,16.97,86.49
MYT-SKU-00086,Apparel,Leipzig,6.09,8,92,107.86,109,7,1,4,2.279,10.64,59.36
MYT-SKU-00087,Footwear,NewJersey,11.4,11,666,178.11,134,21,4,5,3.41,18.66,144.06
MYT-SKU-00088,Footwear,HongKong,6.69,19,241,414.42,202,7,3,9,3.818,27.46,154.57
MYT-SKU-00089,Bags,Munich,6.2,7,438,429.18,302,14,2,8,3.712,16.2,59.6
MYT-SKU-00090,Apparel,NewJersey,8.26,9,738,196.99,142,7,4,5,2.389,11.83,86.17
MYT-SKU-00091,Apparel,NewJersey,8.63,13,474,271.98,356,28,1,4,2.983,17.75,129.94
MYT-SKU-00092,Footwear,Leipzig,2.56,7,141,57.77,61,28,1,4,2.384,10.41,28.33
MYT-SKU-00093,Bags,Leipzig,7.42,6,654,552.07,77,7,3,9,2.211,8.94,53.46
MYT-SKU-00094,Footwear,NewJersey,11.63,13,488,260.03,22,7,4,6,5.004,29.77,180.96
MYT-SKU-00095,Bags,Leipzig,7.9,6,353,698.97,163,14,4,8,3.592,14.52,61.92
MYT-SKU-00096,Apparel,NewJersey,9.56,9,643,184.7,144,7,2,7,3.832,18.97,105.01
MYT-SKU-00097,Apparel,Munich,5.64,7,293,93.9,277,7,1,8,3.269,14.27,53.75
MYT-SKU-00098,Apparel,Munich,6.75,6,490,90.59,279,28,0,2,3.894,15.74,56.24
MYT-SKU-00099,Apparel,Leipzig,10.77,5,494,387.53,154,14,1,4,3.452,12.74,66.59
MYT-SKU-00100,Apparel,Leipzig,9.19,4,613,213.83,16,28,0,7,4.298,14.18,50.94
MYT-SKU-00101,Apparel,HongKong,5.76,21,419,139.8,150,7,3,9,2.752,20.81,141.77
MYT-SKU-00102,Footwear,NewJersey,3.07,9,194,357.37,326,7,3,6,2.297,11.37,39.0
MYT-SKU-00103,Apparel,Leipzig,13.85,7,418,334.87,127,28,1,8,5.124,22.37,119.32
MYT-SKU-00104,Apparel,Munich,5.66,5,304,410.71,124,14,1,8,2.378,8.77,37.07
MYT-SKU-00105,Accessories,HongKong,4.13,21,361,391.36,177,7,0,3,1.881,14.22,100.95
MYT-SKU-00106,Apparel,Leipzig,13.82,6,315,54.84,318,14,1,6,2.988,12.08,95.0
MYT-SKU-00107,Apparel,Munich,4.03,4,274,87.21,305,7,3,8,2.045,6.75,22.87
MYT-SKU-00108,Bags,Leipzig,6.82,5,505,342.05,90,21,3,4,2.744,10.12,44.22
MYT-SKU-00109,Apparel,HongKong,3.9,21,256,403.9,126,14,2,4,2.133,16.13,98.03
MYT-SKU-00110,Apparel,HongKong,6.65,20,156,338.85,243,7,0,6,3.682,27.17,160.17
MYT-SKU-00111,Apparel,Leipzig,11.62,6,239,69.04,353,14,4,7,3.099,12.53,82.25
MYT-SKU-00112,Apparel,Munich,5.77,6,306,95.09,364,21,1,6,3.239,13.09,47.71
MYT-SKU-00113,Accessories,NewJersey,4.71,11,184,215.29,109,28,3,7,1.87,10.23,62.04
MYT-SKU-00114,Bags,Leipzig,7.25,5,321,501.63,55,14,0,4,2.662,9.82,46.07
MYT-SKU-00115,Footwear,Leipzig,5.64,7,200,97.59,311,7,2,5,2.385,10.41,49.89
MYT-SKU-00116,Bags,Munich,3.12,6,239,77.63,284,14,0,6,1.737,7.02,25.74
MYT-SKU-00117,Bags,HongKong,6.97,20,549,32.18,42,14,1,2,3.917,28.9,168.3
MYT-SKU-00118,Apparel,Munich,11.22,5,182,69.19,85,28,4,10,4.637,17.11,73.21
MYT-SKU-00119,Bags,Munich,6.96,4,529,306.48,147,21,0,6,2.391,7.89,35.73
MYT-SKU-00120,Apparel,Leipzig,7.92,4,519,390.68,213,21,1,6,4.115,13.58,45.26
MYT-SKU-00121,Bags,Munich,12.53,4,615,47.7,267,21,2,7,3.748,12.37,62.49
MYT-SKU-00122,Bags,Leipzig,6.36,7,135,495.57,364,7,0,4,3.034,13.24,57.76
MYT-SKU-00123,Apparel,Munich,13.07,5,852,70.68,226,14,1,2,3.059,11.29,76.64
MYT-SKU-00124,Apparel,Leipzig,5.61,8,195,227.33,217,21,0,7,3.035,14.16,59.04
MYT-SKU-00125,Apparel,Munich,10.08,5,567,137.89,269,21,0,2,2.575,9.5,59.9
MYT-SKU-00126,Apparel,Munich,13.38,6,423,379.27,235,21,2,5,4.533,18.32,98.6
MYT-SKU-00127,Bags,Munich,4.03,5,326,484.68,211,14,0,3,2.436,8.99,29.14
MYT-SKU-00128,Bags,NewJersey,8.06,12,332,227.23,99,7,2,7,3.522,20.13,116.85
MYT-SKU-00129,Apparel,NewJersey,7.27,13,483,232.41,75,7,0,7,2.267,13.49,108.0
MYT-SKU-00130,Apparel,Munich,6.08,4,316,343.43,254,7,3,5,3.649,12.04,36.36
MYT-SKU-00131,Apparel,HongKong,11.44,19,956,391.72,188,7,4,10,4.006,28.81,246.17
MYT-SKU-00132,Apparel,Leipzig,6.6,6,212,283.38,8,7,4,8,3.314,13.39,52.99
MYT-SKU-00133,Apparel,NewJersey,6.68,13,579,281.18,352,28,3,4,3.009,17.9,104.74
MYT-SKU-00134,Apparel,Leipzig,6.88,6,491,57.1,124,7,4,8,3.496,14.13,55.41
MYT-SKU-00135,Accessories,Leipzig,1.62,4,109,240.33,215,28,2,4,1.19,3.93,10.41
MYT-SKU-00136,Apparel,Munich,5.64,3,440,369.09,221,28,1,3,2.997,8.57,25.49
MYT-SKU-00137,Apparel,Leipzig,8.65,4,553,310.91,196,7,2,7,3.657,12.07,46.67
MYT-SKU-00138,Footwear,NewJersey,11.67,13,271,32.83,78,21,1,3,4.318,25.69,177.4
MYT-SKU-00139,Apparel,Leipzig,10.36,4,698,318.41,246,28,2,3,4.051,13.37,54.81
MYT-SKU-00140,Accessories,Munich,3.35,3,160,188.35,275,7,2,6,1.509,4.31,14.36
MYT-SKU-00141,Accessories,Munich,7.86,3,444,311.58,313,7,1,8,3.443,9.84,33.42
MYT-SKU-00142,Apparel,HongKong,8.85,19,404,367.32,334,21,3,5,4.146,29.82,197.97
MYT-SKU-00143,Apparel,Leipzig,11.89,8,331,88.41,213,7,3,7,4.146,19.35,114.47
MYT-SKU-00144,Apparel,Leipzig,6.83,6,351,393.33,223,14,3,8,3.789,15.31,56.29
MYT-SKU-00145,Apparel,NewJersey,9.11,13,180,97.23,69,7,3,9,2.483,14.77,133.2
MYT-SKU-00146,Apparel,Munich,7.69,7,146,137.81,357,21,2,8,3.158,13.79,67.62
MYT-SKU-00147,Footwear,Munich,2.01,3,111,310.07,138,14,2,7,1.456,4.16,10.19
MYT-SKU-00148,Apparel,NewJersey,7.56,10,216,330.56,130,14,0,5,2.67,13.93,89.53
MYT-SKU-00149,Apparel,Munich,8.91,5,550,198.5,304,28,4,8,3.068,11.32,55.87
MYT-SKU-00150,Apparel,Munich,9.39,5,275,61.35,66,14,0,6,2.54,9.37,56.32
MYT-SKU-00151,Accessories,Leipzig,3.79,5,286,413.85,156,7,4,5,1.677,6.19,25.14
MYT-SKU-00152,Apparel,HongKong,6.21,21,161,163.85,10,7,4,7,3.227,24.4,154.81
MYT-SKU-00153,Apparel,Munich,6.79,3,328,435.65,356,7,2,9,2.233,6.38,26.75
MYT-SKU-00154,Apparel,NewJersey,8.26,9,412,383.95,251,7,3,8,4.103,20.31,94.65
MYT-SKU-00155,Accessories,HongKong,5.52,19,340,141.39,364,7,1,4,3.003,21.6,126.48
MYT-SKU-00156,Apparel,Munich,13.76,3,622,339.61,182,7,2,9,4.641,13.26,54.54
MYT-SKU-00157,Footwear,HongKong,7.45,22,479,131.71,106,21,1,2,3.302,25.55,189.45
MYT-SKU-00158,Bags,Leipzig,6.38,4,462,36.87,49,7,0,7,3.636,12.0,37.52
MYT-SKU-00159,Apparel,Leipzig,5.29,7,128,127.16,142,21,3,6,2.414,10.54,47.57
MYT-SKU-00160,Footwear,HongKong,3.66,21,75,82.14,131,7,0,2,1.859,14.06,90.92
MYT-SKU-00161,Apparel,NewJersey,6.27,11,413,146.83,287,28,3,6,3.165,17.32,86.29
MYT-SKU-00162,Footwear,Munich,8.32,6,657,221.3,234,14,2,6,3.289,13.29,63.21
MYT-SKU-00163,Footwear,Leipzig,8.63,6,440,77.93,317,21,1,5,4.206,17.0,68.78
MYT-SKU-00164,Apparel,Leipzig,6.41,8,400,54.4,353,7,3,7,2.138,9.98,61.26
MYT-SKU-00165,Apparel,Leipzig,8.11,5,303,234.78,201,7,4,11,3.552,13.11,53.66
MYT-SKU-00166,Bags,Leipzig,10.41,8,839,262.84,93,14,2,6,4.494,20.97,104.25
MYT-SKU-00167,Apparel,Munich,7.12,6,519,207.71,40,14,2,7,2.568,10.38,53.1
MYT-SKU-00168,Apparel,Leipzig,9.4,5,555,445.76,209,28,3,5,4.218,15.56,62.56
MYT-SKU-00169,Apparel,Leipzig,7.19,7,273,166.04,132,7,3,9,3.22,14.06,64.39
MYT-SKU-00170,Footwear,Munich,0.94,3,45,276.3,327,7,0,1,1.403,4.01,6.83
MYT-SKU-00171,Footwear,HongKong,4.25,20,153,223.94,231,14,2,4,2.301,16.98,101.98
MYT-SKU-00172,Apparel,HongKong,5.34,22,253,334.91,237,14,4,7,2.273,17.59,135.07
MYT-SKU-00173,Apparel,Leipzig,12.74,4,239,443.36,324,14,1,8,4.716,15.56,66.52
MYT-SKU-00174,Apparel,Munich,7.64,5,175,241.25,80,7,4,7,2.856,10.54,48.74
MYT-SKU-00175,Footwear,Leipzig,8.77,7,274,165.49,38,7,1,7,2.825,12.33,73.72
MYT-SKU-00176,Apparel,Munich,11.32,4,937,83.17,233,21,0,4,4.37,14.42,59.7
MYT-SKU-00177,Footwear,Munich,2.13,5,106,367.81,287,14,3,7,2.012,7.42,18.07
MYT-SKU-00178,Apparel,HongKong,7.28,22,372,44.2,341,28,1,5,3.944,30.52,190.68
MYT-SKU-00179,Accessories,Munich,7.61,6,416,266.66,331,14,4,8,2.786,11.26,56.92
MYT-SKU-00180,Apparel,Munich,6.82,5,358,346.6,177,7,3,7,2.947,10.87,44.97
MYT-SKU-00181,Apparel,Munich,7.5,3,161,96.05,87,7,4,5,2.543,7.27,29.77
MYT-SKU-00182,Apparel,Munich,8.52,4,335,222.57,304,21,0,5,4.254,14.04,48.12
MYT-SKU-00183,Accessories,Munich,10.88,3,218,185.86,144,7,0,4,4.538,12.97,45.61
MYT-SKU-00184,Bags,NewJersey,6.42,10,130,166.64,275,7,4,10,3.03,15.81,80.01
MYT-SKU-00185,Apparel,Munich,9.77,5,203,398.32,300,21,4,10,4.505,16.62,65.47
MYT-SKU-00186,Footwear,Munich,6.34,3,522,245.15,244,28,4,9,3.46,9.89,28.91
MYT-SKU-00187,Bags,Munich,2.53,7,79,619.3,123,14,1,4,1.307,5.71,23.42
MYT-SKU-00188,Footwear,NewJersey,9.18,13,184,384.91,135,7,2,6,4.076,24.25,143.59
MYT-SKU-00189,Apparel,Leipzig,5.34,7,81,441.3,250,7,2,6,2.045,8.93,46.31
MYT-SKU-00190,Apparel,Leipzig,5.39,4,329,414.76,43,14,2,8,2.396,7.91,29.47
MYT-SKU-00191,Apparel,NewJersey,4.52,12,277,332.85,317,7,1,4,1.877,10.73,64.97
MYT-SKU-00192,Bags,Leipzig,5.75,4,201,492.53,107,14,2,3,2.026,6.69,29.69
MYT-SKU-00193,Accessories,Munich,7.72,4,278,83.85,338,14,2,3,3.401,11.22,42.1
MYT-SKU-00194,Footwear,Munich,2.71,4,109,200.08,82,7,2,6,2.415,7.97,18.81
MYT-SKU-00195,Apparel,Leipzig,8.35,6,347,258.84,277,28,4,9,2.457,9.93,60.03
MYT-SKU-00196,Apparel,Munich,10.33,7,757,39.1,160,7,1,3,4.257,18.58,90.89
MYT-SKU-00197,Footwear,Leipzig,7.74,8,662,79.75,261,7,4,10,2.77,12.93,74.85
MYT-SKU-00198,Bags,Munich,4.5,5,266,468.24,96,21,4,9,1.831,6.76,29.26
MYT-SKU-00199,Bags,Leipzig,3.24,6,144,122.25,305,28,3,7,2.602,10.52,29.96
MYT-SKU-00200,Bags,Munich,7.94,5,295,256.36,60,7,1,7,2.361,8.71,48.41
MYT-SKU-00201,Footwear,Munich,7.71,5,595,28.33,49,28,0,7,2.427,8.95,47.5
MYT-SKU-00202,Apparel,Leipzig,9.25,4,201,86.35,75,7,1,2,2.916,9.62,46.62
MYT-SKU-00203,Apparel,NewJersey,8.51,11,404,254.86,164,7,2,7,4.234,23.17,116.78
MYT-SKU-00204,Bags,Leipzig,6.15,7,399,469.12,227,21,0,1,2.511,10.96,54.01
MYT-SKU-00205,Footwear,Leipzig,6.29,6,213,57.09,194,14,4,5,2.058,8.32,46.06
MYT-SKU-00206,Apparel,Munich,15.54,3,390,117.74,355,7,1,8,3.671,10.49,57.11
MYT-SKU-00207,Apparel,Munich,6.97,7,445,185.29,230,14,2,8,2.934,12.81,61.6
MYT-SKU-00208,Footwear,Munich,1.91,7,115,310.9,60,21,0,1,1.959,8.55,21.92
MYT-SKU-00209,Apparel,Munich,2.44,7,150,44.86,347,14,3,8,1.534,6.7,23.78
MYT-SKU-00210,Apparel,Munich,12.43,3,1098,208.61,266,7,3,8,4.081,11.66,48.95
MYT-SKU-00211,Apparel,Munich,5.58,5,219,334.71,335,7,1,6,2.389,8.81,36.71
MYT-SKU-00212,Footwear,HongKong,4.12,20,366,73.54,66,21,3,7,2.44,18.0,100.4
MYT-SKU-00213,Footwear,Munich,5.68,7,105,250.99,57,7,2,6,2.054,8.97,48.73
MYT-SKU-00214,Apparel,Leipzig,6.13,8,111,205.07,304,21,0,2,2.847,13.29,62.33
MYT-SKU-00215,Footwear,Leipzig,1.79,5,142,183.18,354,21,1,7,1.137,4.19,13.14
MYT-SKU-00216,Apparel,Leipzig,10.99,6,430,421.04,83,21,2,5,4.926,19.91,85.85
MYT-SKU-00217,Apparel,Leipzig,7.09,8,296,185.25,195,21,1,5,3.841,17.93,74.65
MYT-SKU-00218,Footwear,Munich,2.85,5,54,207.69,348,14,3,6,2.115,7.8,22.05
MYT-SKU-00219,Footwear,Munich,6.67,6,101,39.27,211,21,2,8,3.728,15.07,55.09
MYT-SKU-00220,Bags,HongKong,5.74,20,359,275.06,28,21,3,9,2.903,21.42,136.22
MYT-SKU-00221,Footwear,NewJersey,5.93,9,321,241.37,141,7,3,4,2.47,12.23,65.6
MYT-SKU-00222,Footwear,Munich,5.79,5,403,16.14,273,7,2,8,2.171,8.01,36.96
MYT-SKU-00223,Apparel,Munich,11.57,4,371,33.73,208,14,0,2,5.087,16.79,63.07
MYT-SKU-00224,Apparel,NewJersey,9.14,10,718,116.69,270,14,4,10,2.937,15.32,106.72
MYT-SKU-00225,Apparel,Munich,4.66,4,162,337.14,115,7,0,4,3.037,10.02,28.66
MYT-SKU-00226,Apparel,Leipzig,6.09,4,296,355.1,88,7,0,7,2.72,8.98,33.34
MYT-SKU-00227,Accessories,Leipzig,7.2,8,307,363.09,268,7,0,1,2.756,12.86,70.46
MYT-SKU-00228,Apparel,Munich,5.61,6,444,263.08,119,14,1,4,2.307,9.32,42.98
MYT-SKU-00229,Bags,Leipzig,3.34,8,256,604.75,23,21,4,7,2.565,11.97,38.69
MYT-SKU-00230,Footwear,Leipzig,3.15,6,152,72.04,189,21,1,6,2.465,9.96,28.86
MYT-SKU-00231,Bags,Munich,9.59,4,401,666.52,46,14,1,5,4.369,14.42,52.78
MYT-SKU-00232,Apparel,Leipzig,5.06,8,374,365.15,24,7,3,6,2.956,13.8,54.28
MYT-SKU-00233,Footwear,HongKong,5.02,19,156,274.61,104,14,1,5,1.891,13.6,108.98
MYT-SKU-00234,Apparel,Leipzig,7.5,4,642,266.46,64,7,0,1,2.869,9.47,39.47
MYT-SKU-00235,Apparel,Munich,4.94,6,192,60.87,28,21,0,7,3.046,12.31,41.95
MYT-SKU-00236,Footwear,Leipzig,2.67,8,133,362.84,168,14,3,5,2.42,11.29,32.65
MYT-SKU-00237,Apparel,HongKong,4.96,19,375,230.23,21,21,4,8,3.124,22.47,116.71
MYT-SKU-00238,Apparel,HongKong,8.58,19,640,371.81,75,7,2,4,3.714,26.71,189.73
MYT-SKU-00239,Footwear,Leipzig,2.97,7,199,150.23,128,28,2,4,2.372,10.35,31.14
MYT-SKU-00240,Apparel,Munich,9.96,5,236,34.32,15,7,4,5,3.336,12.31,62.11
MYT-SKU-00241,Accessories,HongKong,4.28,23,142,233.43,230,7,4,8,2.625,20.77,119.21
MYT-SKU-00242,Accessories,Leipzig,4.09,6,280,398.03,130,7,1,8,2.692,10.88,35.42
MYT-SKU-00243,Accessories,Munich,5.1,4,405,50.89,356,7,1,3,2.601,8.58,28.98
MYT-SKU-00244,Apparel,Leipzig,8.01,6,221,192.29,227,7,1,2,2.781,11.24,59.3
MYT-SKU-00245,Apparel,Munich,10.7,3,954,377.33,93,7,0,1,4.742,13.55,45.65
MYT-SKU-00246,Accessories,Leipzig,7.38,4,455,112.12,252,14,4,7,3.694,12.19,41.71
MYT-SKU-00247,Apparel,Munich,13.25,5,1015,126.89,251,14,4,5,3.541,13.06,79.31
MYT-SKU-00248,Accessories,Leipzig,9.61,6,710,284.16,2,21,1,2,2.741,11.08,68.74
MYT-SKU-00249,Accessories,NewJersey,4.86,10,112,390.71,226,21,4,11,2.903,15.15,63.75
MYT-SKU-00250,Bags,HongKong,6.01,20,245,423.59,286,14,0,5,3.094,22.83,143.03
MYT-SKU-00251,Apparel,NewJersey,13.06,13,645,56.63,34,14,4,5,4.388,26.1,195.88
MYT-SKU-00252,Apparel,NewJersey,4.25,9,147,419.07,117,21,2,9,3.032,15.01,53.26
MYT-SKU-00253,Bags,Munich,5.33,7,353,394.36,203,7,0,4,2.398,10.47,47.78
MYT-SKU-00254,Apparel,Leipzig,9.17,8,524,162.09,22,14,1,3,2.682,12.52,85.88
MYT-SKU-00255,Apparel,Leipzig,5.98,6,530,342.04,80,14,3,10,2.309,9.33,45.21
MYT-SKU-00256,Footwear,NewJersey,5.23,9,150,314.75,231,14,2,9,2.985,14.78,61.85
MYT-SKU-00257,Accessories,Munich,3.75,7,214,146.19,64,14,0,2,2.784,12.15,38.4
MYT-SKU-00258,Footwear,NewJersey,2.93,11,242,386.69,208,7,3,7,2.193,12.0,44.23
MYT-SKU-00259,Footwear,Leipzig,3.32,7,60,48.84,234,7,0,7,1.644,7.18,30.42
