Event_ID,FC_ID,Event_Date,Inbound_Arrival_Time_min,Stow_Time_min,Pick_Time_min,Pack_Time_min,Outbound_Dispatch_Time_min,Carrier,Total_Cycle_Time_min,Throughput_per_Hour,Defect_Flag,SLA_Met_Flag
AMZ-EVT-000028,FC-MUM-01,2025-05-23,195,110,516,163,353,Carrier-A,1337,0.12,0,0
AMZ-EVT-000029,FC-BER-01,2025-08-31,85,382,90,200,265,Carrier-A,1022,0.15,0,0
AMZ-EVT-000030,FC-LON-01,2025-10-30,65,327,518,71,309,Carrier-D,1290,0.14,0,0
AMZ-EVT-000031,FC-MUM-01,2025-08-25,50,88,209,214,88,Carrier-C,649,0.16,0,0
AMZ-EVT-000032,FC-BER-01,2025-09-24,176,377,45,218,250,Carrier-C,1066,0.18,0,0
AMZ-EVT-000033,FC-MUM-01,2025-01-13,126,49,420,92,253,Carrier-B,940,0.3,0,0
AMZ-EVT-000034,FC-BER-01,2025-10-09,186,400,319,110,297,Carrier-A,1312,0.17,0,0
AMZ-EVT-000035,FC-SFO-01,2025-02-20,149,299,502,200,336,Carrier-A,1486,0.14,0,0
AMZ-EVT-000036,FC-BER-01,2025-11-07,54,343,590,232,107,Carrier-C,1326,0.07,0,0
AMZ-EVT-000037,FC-SFO-01,2025-06-28,79,165,338,79,344,Carrier-E,1005,0.16,0,0
AMZ-EVT-000038,FC-LON-01,2025-09-21,10,353,185,182,292,Carrier-B,1022,0.28,0,0
AMZ-EVT-000039,FC-LON-01,2025-10-08,65,35,258,141,271,Carrier-D,770,0.15,0,0
AMZ-EVT-000040,FC-BER-01,2025-04-27,83,89,543,220,254,Carrier-B,1189,0.06,0,0
AMZ-EVT-000041,FC-MUM-01,2025-08-01,141,468,402,56,299,Carrier-C,1366,0.06,0,0
AMZ-EVT-000042,FC-MUM-01,2025-09-29,196,33,79,122,298,Carrier-E,728,0.11,0,0
AMZ-EVT-000043,FC-LON-01,2025-08-19,173,304,586,237,60,Carrier-E,1360,0.14,0,0
AMZ-EVT-000044,FC-SFO-01,2025-06-12,111,328,408,207,275,Carrier-D,1329,0.18,0,0
AMZ-EVT-000045,FC-BER-01,2025-05-02,226,439,147,79,228,Carrier-C,1119,0.11,1,0
AMZ-EVT-000046,FC-SFO-01,2025-09-06,115,462,386,57,264,Carrier-B,1284,0.11,0,0
AMZ-EVT-000047,FC-SFO-01,2025-03-31,177,116,565,188,183,Carrier-A,1229,0.16,0,0
AMZ-EVT-000048,FC-BER-01,2025-02-27,120,161,124,214,58,Carrier-A,677,0.43,0,0
AMZ-EVT-000049,FC-SFO-01,2025-08-28,104,175,443,102,65,Carrier-C,889,0.29,0,0
AMZ-EVT-000050,FC-LON-01,2025-01-25,142,24,425,128,113,Carrier-A,832,0.27,0,0
AMZ-EVT-000051,FC-MUM-01,2025-07-12,92,434,556,101,89,Carrier-C,1272,0.08,0,0
AMZ-EVT-000052,FC-SFO-01,2025-04-09,80,260,439,36,41,Carrier-B,856,0.27,1,0
AMZ-EVT-000053,FC-MUM-01,2025-10-31,76,106,119,75,329,Carrier-D,705,0.09,0,0
AMZ-EVT-000054,FC-BER-01,2025-04-15,94,383,188,151,314,Carrier-B,1130,0.08,0,0
AMZ-EVT-000055,FC-MUM-01,2025-08-16,59,117,83,184,83,Carrier-B,526,0.14,0,0
AMZ-EVT-000056,FC-BER-01,2025-10-27,182,335,199,92,296,Carrier-B,1104,0.15,0,0
AMZ-EVT-000057,FC-BER-01,2025-08-25,143,204,562,45,263,Carrier-C,1217,0.16,0,0
AMZ-EVT-000058,FC-MUM-01,2025-03-11,180,426,125,23,56,Carrier-D,810,0.27,0,0
AMZ-EVT-000059,FC-BER-01,2025-08-15,26,225,570,100,145,Carrier-C,1066,0.06,0,0
AMZ-EVT-000060,FC-SFO-01,2025-04-13,82,88,332,230,37,Carrier-D,769,0.28,0,0
AMZ-EVT-000061,FC-BER-01,2025-02-20,197,28,307,70,312,Carrier-A,914,0.2,0,0
AMZ-EVT-000062,FC-MUM-01,2025-04-15,53,169,320,199,89,Carrier-C,830,0.2,0,0
AMZ-EVT-000063,FC-MUM-01,2025-03-06,181,86,112,35,173,Carrier-D,587,0.49,0,0
AMZ-EVT-000064,FC-MUM-01,2025-11-11,133,202,482,172,322,Carrier-A,1311,0.1,0,0
AMZ-EVT-000065,FC-MUM-01,2025-06-30,41,121,564,212,174,Carrier-B,1112,0.07,0,0
AMZ-EVT-000066,FC-MUM-01,2025-10-01,222,327,34,159,263,Carrier-A,1005,0.19,0,0
AMZ-EVT-000067,FC-SFO-01,2025-06-02,63,72,194,148,205,Carrier-A,682,0.33,0,0
AMZ-EVT-000068,FC-MUM-01,2025-05-01,192,124,574,175,48,Carrier-A,1113,0.17,0,0
AMZ-EVT-000069,FC-BER-01,2025-04-01,119,172,541,220,318,Carrier-D,1370,0.12,0,0
AMZ-EVT-000070,FC-LON-01,2025-04-15,198,123,362,111,287,Carrier-A,1081,0.17,0,0
AMZ-EVT-000071,FC-BER-01,2025-06-10,107,70,287,198,223,Carrier-C,885,0.08,1,0
AMZ-EVT-000072,FC-BER-01,2025-04-30,140,316,148,18,340,Carrier-B,962,0.1,0,0
AMZ-EVT-000073,FC-SFO-01,2025-06-19,110,374,91,185,309,Carrier-E,1069,0.08,0,0
AMZ-EVT-000074,FC-MUM-01,2025-07-05,125,212,426,237,11,Carrier-A,1011,0.18,0,0
AMZ-EVT-000075,FC-BER-01,2025-11-11,146,263,497,130,308,Carrier-A,1344,0.09,0,0
AMZ-EVT-000076,FC-BER-01,2025-05-16,76,226,410,200,75,Carrier-C,987,0.1,0,0
AMZ-EVT-000077,FC-MUM-01,2025-08-04,124,104,332,214,58,Carrier-E,832,0.13,0,0
AMZ-EVT-000078,FC-MUM-01,2025-04-08,149,235,508,102,214,Carrier-B,1208,0.16,0,0
AMZ-EVT-000079,FC-BER-01,2025-06-17,202,132,478,236,60,Carrier-E,1108,0.16,0,0
AMZ-EVT-000080,FC-BER-01,2025-09-14,18,309,347,205,241,Carrier-E,1120,0.26,0,0
AMZ-EVT-000081,FC-LON-01,2025-03-13,154,463,145,79,42,Carrier-C,883,0.16,0,0
AMZ-EVT-000082,FC-LON-01,2025-06-29,134,222,363,119,47,Carrier-A,885,0.27,0,0
AMZ-EVT-000083,FC-MUM-01,2025-06-27,113,320,241,92,222,Carrier-B,988,0.17,0,0
AMZ-EVT-000084,FC-MUM-01,2025-01-25,144,177,434,117,176,Carrier-B,1048,0.23,0,0
AMZ-EVT-000085,FC-LON-01,2025-10-06,111,428,54,227,330,Carrier-A,1150,0.1,0,0
AMZ-EVT-000086,FC-BER-01,2025-05-01,220,10,447,157,37,Carrier-D,871,0.24,0,0
AMZ-EVT-000087,FC-MUM-01,2025-09-19,66,122,518,113,316,Carrier-B,1135,0.21,0,0
AMZ-EVT-000088,FC-SFO-01,2025-05-31,92,65,490,25,100,Carrier-E,772,0.31,0,0
AMZ-EVT-000089,FC-BER-01,2025-05-20,235,124,161,155,233,Carrier-B,908,0.32,0,0
AMZ-EVT-000090,FC-LON-01,2025-04-02,115,81,498,44,74,Carrier-C,812,0.14,0,0
AMZ-EVT-000091,FC-MUM-01,2025-06-17,99,365,92,93,65,Carrier-A,714,0.23,0,0
AMZ-EVT-000092,FC-BER-01,2025-07-10,66,83,309,58,159,Carrier-A,675,0.3,0,0
AMZ-EVT-000093,FC-SFO-01,2025-11-04,141,283,394,209,231,Carrier-A,1258,0.1,0,0
AMZ-EVT-000094,FC-BER-01,2025-07-04,188,439,587,27,242,Carrier-A,1483,0.1,0,0
AMZ-EVT-000095,FC-LON-01,2025-09-25,37,50,52,59,276,Carrier-E,474,0.52,0,1
AMZ-EVT-000096,FC-BER-01,2025-11-01,207,261,492,57,313,Carrier-B,1330,0.09,0,0
AMZ-EVT-000097,FC-SFO-01,2025-10-03,92,104,321,125,24,Carrier-E,666,0.38,0,0
AMZ-EVT-000098,FC-BER-01,2025-09-14,127,377,206,157,314,Carrier-B,1181,0.24,0,0
AMZ-EVT-000099,FC-BER-01,2025-02-06,207,175,271,47,96,Carrier-C,796,0.28,0,0
AMZ-EVT-000100,FC-MUM-01,2025-09-13,194,384,282,69,153,Carrier-E,1082,0.26,0,0
AMZ-EVT-000101,FC-LON-01,2025-08-01,211,478,124,54,273,Carrier-A,1140,0.1,0,0
AMZ-EVT-000102,FC-BER-01,2025-03-06,128,22,388,199,11,Carrier-D,748,0.17,0,0
AMZ-EVT-000103,FC-MUM-01,2025-02-14,102,453,342,101,238,Carrier-D,1236,0.18,0,0
AMZ-EVT-000104,FC-LON-01,2025-07-25,27,158,524,86,28,Carrier-C,823,0.21,0,0
AMZ-EVT-000105,FC-MUM-01,2025-02-02,159,451,301,84,38,Carrier-C,1033,0.14,0,0
AMZ-EVT-000106,FC-SFO-01,2025-08-02,111,381,360,36,326,Carrier-D,1214,0.13,0,0
AMZ-EVT-000107,FC-BER-01,2025-08-22,238,37,83,72,82,Carrier-B,512,0.52,0,0
AMZ-EVT-000108,FC-MUM-01,2025-05-22,161,423,156,144,221,Carrier-A,1105,0.18,0,0
AMZ-EVT-000109,FC-SFO-01,2025-04-30,160,218,75,176,67,Carrier-E,696,0.22,0,0
AMZ-EVT-000110,FC-BER-01,2025-11-05,169,219,442,41,150,Carrier-A,1021,0.28,0,0
AMZ-EVT-000111,FC-SFO-01,2025-02-06,65,31,431,16,199,Carrier-B,742,0.29,0,0
AMZ-EVT-000112,FC-BER-01,2025-07-30,144,284,395,103,38,Carrier-A,964,0.29,0,0
AMZ-EVT-000113,FC-BER-01,2025-07-19,53,467,317,191,160,Carrier-B,1188,0.23,0,0
AMZ-EVT-000114,FC-MUM-01,2025-10-06,213,475,426,102,242,Carrier-B,1458,0.05,0,0
AMZ-EVT-000115,FC-MUM-01,2025-11-21,204,163,391,212,257,Carrier-B,1227,0.09,0,0
AMZ-EVT-000116,FC-BER-01,2025-09-01,152,75,413,206,277,Carrier-C,1123,0.2,0,0
AMZ-EVT-000117,FC-BER-01,2025-08-31,39,474,239,65,297,Carrier-C,1114,0.19,0,0
AMZ-EVT-000118,FC-LON-01,2025-02-09,237,174,73,39,292,Carrier-B,815,0.22,0,0
AMZ-EVT-000119,FC-BER-01,2025-03-01,50,295,599,96,210,Carrier-B,1250,0.24,0,0
AMZ-EVT-000120,FC-MUM-01,2025-11-04,52,214,394,149,170,Carrier-D,979,0.12,1,0
AMZ-EVT-000121,FC-BER-01,2025-10-16,43,123,252,75,108,Carrier-B,601,0.15,0,0
AMZ-EVT-000122,FC-MUM-01,2025-03-28,132,431,420,16,17,Carrier-A,1016,0.08,0,0
AMZ-EVT-000123,FC-SFO-01,2025-10-05,38,19,565,228,236,Carrier-D,1086,0.26,0,0
AMZ-EVT-000124,FC-MUM-01,2025-01-28,185,417,465,220,64,Carrier-E,1351,0.07,0,0
AMZ-EVT-000125,FC-BER-01,2025-04-28,133,233,357,52,89,Carrier-B,864,0.07,0,0
AMZ-EVT-000126,FC-BER-01,2025-08-03,83,454,96,75,316,Carrier-D,1024,0.14,0,0
AMZ-EVT-000127,FC-LON-01,2025-02-19,169,176,269,160,357,Carrier-A,1131,0.18,0,0
AMZ-EVT-000128,FC-SFO-01,2025-08-16,203,266,51,144,354,Carrier-C,1018,0.19,0,0
AMZ-EVT-000129,FC-MUM-01,2025-11-20,94,454,322,18,173,Carrier-E,1061,0.18,0,0
AMZ-EVT-000130,FC-BER-01,2025-02-03,141,461,341,98,247,Carrier-B,1288,0.1,0,0
AMZ-EVT-000131,FC-MUM-01,2025-04-08,225,236,241,187,156,Carrier-D,1045,0.29,0,0
AMZ-EVT-000132,FC-MUM-01,2025-11-07,228,464,208,132,296,Carrier-C,1328,0.11,0,0
AMZ-EVT-000133,FC-SFO-01,2025-04-07,141,348,89,94,117,Carrier-D,789,0.15,0,0
AMZ-EVT-000134,FC-MUM-01,2025-05-21,227,353,111,234,153,Carrier-C,1078,0.27,0,0
AMZ-EVT-000135,FC-BER-01,2025-09-17,181,411,251,56,299,Carrier-B,1198,0.19,0,0
AMZ-EVT-000136,FC-LON-01,2025-08-08,172,11,167,238,152,Carrier-B,740,0.2,0,0
AMZ-EVT-000137,FC-MUM-01,2025-09-07,113,201,592,122,233,Carrier-A,1261,0.09,0,0
AMZ-EVT-000138,FC-BER-01,2025-08-01,233,255,282,196,349,Carrier-C,1315,0.18,0,0
AMZ-EVT-000139,FC-MUM-01,2025-10-02,192,34,424,86,321,Carrier-D,1057,0.26,0,0
AMZ-EVT-000140,FC-BER-01,2025-08-22,9,239,545,75,163,Carrier-D,1031,0.23,0,0
AMZ-EVT-000141,FC-MUM-01,2025-05-11,25,57,216,149,74,Carrier-B,521,0.39,0,0
AMZ-EVT-000142,FC-SFO-01,2025-01-20,171,73,124,115,195,Carrier-C,678,0.35,0,0
AMZ-EVT-000143,FC-MUM-01,2025-05-22,52,28,223,103,28,Carrier-E,434,0.42,0,1
AMZ-EVT-000144,FC-BER-01,2025-04-07,56,122,362,127,64,Carrier-E,731,0.16,0,0
AMZ-EVT-000145,FC-SFO-01,2025-07-30,155,259,105,52,49,Carrier-C,620,0.43,0,0
AMZ-EVT-000146,FC-SFO-01,2025-01-05,220,389,467,232,88,Carrier-A,1396,0.07,0,0
AMZ-EVT-000147,FC-BER-01,2025-04-03,85,198,78,19,315,Carrier-E,695,0.3,0,0
AMZ-EVT-000148,FC-SFO-01,2025-10-27,118,70,264,231,64,Carrier-A,747,0.36,0,0
AMZ-EVT-000149,FC-LON-01,2025-06-20,141,151,545,42,62,Carrier-C,941,0.32,0,0
AMZ-EVT-000150,FC-SFO-01,2025-07-01,234,82,71,27,137,Carrier-B,551,0.11,0,0
AMZ-EVT-000151,FC-BER-01,2025-01-20,62,248,302,35,190,Carrier-E,837,0.2,0,0
AMZ-EVT-000152,FC-BER-01,2025-05-15,27,355,244,178,170,Carrier-A,974,0.22,0,0
AMZ-EVT-000153,FC-BER-01,2025-08-06,201,233,488,218,242,Carrier-B,1382,0.13,0,0
AMZ-EVT-000154,FC-MUM-01,2025-05-21,71,389,127,83,174,Carrier-D,844,0.26,0,0
AMZ-EVT-000155,FC-BER-01,2025-11-22,105,159,522,42,20,Carrier-C,848,0.23,0,0
AMZ-EVT-000156,FC-LON-01,2025-06-29,204,461,434,180,271,Carrier-C,1550,0.05,0,0
AMZ-EVT-000157,FC-BER-01,2025-02-18,77,204,201,204,181,Carrier-B,867,0.21,0,0
AMZ-EVT-000158,FC-MUM-01,2025-09-06,51,100,597,157,84,Carrier-C,989,0.15,1,0
AMZ-EVT-000159,FC-MUM-01,2025-03-25,216,368,277,205,281,Carrier-A,1347,0.22,0,0
AMZ-EVT-000160,FC-BER-01,2025-10-15,156,113,398,92,216,Carrier-A,975,0.17,0,0
AMZ-EVT-000161,FC-MUM-01,2025-10-16,80,252,126,121,133,Carrier-E,712,0.08,0,0
AMZ-EVT-000162,FC-SFO-01,2025-01-09,158,416,255,167,97,Carrier-B,1093,0.13,0,0
AMZ-EVT-000163,FC-BER-01,2025-01-03,29,459,443,152,346,Carrier-B,1429,0.16,0,0
AMZ-EVT-000164,FC-MUM-01,2025-10-21,12,259,136,62,209,Carrier-D,678,0.44,0,0
AMZ-EVT-000165,FC-SFO-01,2025-04-28,155,312,88,203,33,Carrier-E,791,0.26,0,0
AMZ-EVT-000166,FC-BER-01,2025-09-22,94,407,120,79,205,Carrier-B,905,0.16,0,0
AMZ-EVT-000167,FC-MUM-01,2025-09-03,218,463,380,172,310,Carrier-D,1543,0.19,0,0
AMZ-EVT-000168,FC-BER-01,2025-05-05,89,417,556,108,96,Carrier-B,1266,0.23,0,0
AMZ-EVT-000169,FC-LON-01,2025-09-02,96,244,415,224,267,Carrier-C,1246,0.17,0,0
AMZ-EVT-000170,FC-BER-01,2025-10-24,127,336,589,182,56,Carrier-B,1290,0.14,0,0
AMZ-EVT-000171,FC-SFO-01,2025-11-17,108,232,66,39,291,Carrier-C,736,0.15,0,0
AMZ-EVT-000172,FC-SFO-01,2025-04-27,215,285,508,76,348,Carrier-B,1432,0.05,0,0
AMZ-EVT-000173,FC-MUM-01,2025-02-18,229,242,516,184,336,Carrier-D,1507,0.13,0,0
AMZ-EVT-000174,FC-SFO-01,2025-06-07,45,74,243,147,184,Carrier-C,693,0.33,0,0
AMZ-EVT-000175,FC-MUM-01,2025-03-02,196,233,127,111,89,Carrier-A,756,0.38,0,0
AMZ-EVT-000176,FC-BER-01,2025-10-29,80,158,356,229,105,Carrier-D,928,0.08,0,0
AMZ-EVT-000177,FC-LON-01,2025-07-14,77,305,543,193,140,Carrier-A,1258,0.1,0,0
AMZ-EVT-000178,FC-MUM-01,2025-03-04,165,40,91,86,259,Carrier-A,641,0.37,0,0
AMZ-EVT-000179,FC-BER-01,2025-07-09,57,157,461,106,319,Carrier-B,1100,0.07,1,0
AMZ-EVT-000180,FC-BER-01,2025-07-03,170,117,216,19,92,Carrier-D,614,0.25,0,0
AMZ-EVT-000181,FC-BER-01,2025-08-20,215,171,301,98,71,Carrier-B,856,0.14,0,0
AMZ-EVT-000182,FC-BER-01,2025-09-14,212,68,116,78,348,Carrier-E,822,0.33,0,0
AMZ-EVT-000183,FC-SFO-01,2025-11-25,76,371,250,62,96,Carrier-C,855,0.28,1,0
AMZ-EVT-000184,FC-BER-01,2025-05-31,231,252,218,203,353,Carrier-B,1257,0.08,0,0
AMZ-EVT-000185,FC-SFO-01,2025-07-05,56,131,299,181,82,Carrier-A,749,0.31,0,0
AMZ-EVT-000186,FC-SFO-01,2025-06-12,182,413,151,228,218,Carrier-B,1192,0.25,0,0
AMZ-EVT-000187,FC-BER-01,2025-11-08,175,436,581,222,224,Carrier-D,1638,0.09,0,0
AMZ-EVT-000188,FC-SFO-01,2025-11-14,31,24,557,160,39,Carrier-C,811,0.18,0,0
AMZ-EVT-000189,FC-MUM-01,2025-07-21,64,229,143,89,185,Carrier-D,710,0.13,0,0
AMZ-EVT-000190,FC-SFO-01,2025-11-06,88,445,358,204,332,Carrier-B,1427,0.21,0,0
AMZ-EVT-000191,FC-BER-01,2025-09-13,216,325,94,238,163,Carrier-B,1036,0.18,0,0
AMZ-EVT-000192,FC-SFO-01,2025-09-04,54,101,458,24,219,Carrier-B,856,0.16,0,0
AMZ-EVT-000193,FC-MUM-01,2025-03-29,181,317,270,33,185,Carrier-B,986,0.07,0,0
AMZ-EVT-000194,FC-BER-01,2025-05-25,173,309,540,121,233,Carrier-A,1376,0.14,0,0
AMZ-EVT-000195,FC-MUM-01,2025-09-11,214,365,454,80,26,Carrier-A,1139,0.17,0,0
AMZ-EVT-000196,FC-MUM-01,2025-10-30,125,138,478,162,30,Carrier-D,933,0.2,0,0
AMZ-EVT-000197,FC-MUM-01,2025-06-03,9,157,533,200,246,Carrier-C,1145,0.21,0,0
AMZ-EVT-000198,FC-SFO-01,2025-11-06,148,78,251,173,187,Carrier-D,837,0.36,0,0
AMZ-EVT-000199,FC-MUM-01,2025-09-26,62,199,118,134,227,Carrier-A,740,0.39,0,0
AMZ-EVT-000200,FC-BER-01,2025-06-10,19,465,92,220,193,Carrier-B,989,0.15,0,0
AMZ-EVT-000201,FC-MUM-01,2025-03-21,190,453,129,239,146,Carrier-D,1157,0.22,0,0
AMZ-EVT-000202,FC-MUM-01,2025-09-24,139,102,425,19,153,Carrier-D,838,0.21,0,0
AMZ-EVT-000203,FC-MUM-01,2025-05-10,93,122,561,119,194,Carrier-A,1089,0.09,0,0
AMZ-EVT-000204,FC-BER-01,2025-11-15,66,92,411,142,136,Carrier-C,847,0.17,0,0
AMZ-EVT-000205,FC-MUM-01,2025-07-15,233,446,348,20,185,Carrier-C,1232,0.16,0,0
AMZ-EVT-000206,FC-MUM-01,2025-11-01,201,348,522,62,144,Carrier-C,1277,0.13,0,0
AMZ-EVT-000207,FC-LON-01,2025-05-24,9,431,191,109,333,Carrier-C,1073,0.08,0,0
AMZ-EVT-000208,FC-SFO-01,2025-06-23,176,229,532,66,299,Carrier-D,1302,0.09,0,0
AMZ-EVT-000209,FC-BER-01,2025-08-18,192,277,226,44,98,Carrier-E,837,0.35,0,0
AMZ-EVT-000210,FC-BER-01,2025-02-09,108,168,248,85,34,Carrier-B,643,0.42,0,0
AMZ-EVT-000211,FC-MUM-01,2025-01-18,57,142,384,165,231,Carrier-C,979,0.12,0,0
AMZ-EVT-000212,FC-SFO-01,2025-08-16,185,291,183,65,20,Carrier-D,744,0.24,0,0
AMZ-EVT-000213,FC-BER-01,2025-07-13,123,409,358,203,304,Carrier-B,1397,0.13,0,0
AMZ-EVT-000214,FC-LON-01,2025-10-05,105,194,500,121,332,Carrier-C,1252,0.19,0,0
AMZ-EVT-000215,FC-BER-01,2025-02-09,103,227,57,138,280,Carrier-E,805,0.32,0,0
AMZ-EVT-000216,FC-SFO-01,2025-06-28,125,346,431,53,328,Carrier-D,1283,0.16,0,0
AMZ-EVT-000217,FC-BER-01,2025-01-13,36,221,549,179,141,Carrier-A,1126,0.11,0,0
AMZ-EVT-000218,FC-BER-01,2025-03-24,199,384,357,36,93,Carrier-B,1069,0.24,0,0
AMZ-EVT-000219,FC-BER-01,2025-05-15,61,434,508,217,216,Carrier-D,1436,0.16,0,0
AMZ-EVT-000220,FC-BER-01,2025-05-26,104,407,346,130,35,Carrier-C,1022,0.25,0,0
AMZ-EVT-000221,FC-MUM-01,2025-11-09,150,38,322,156,331,Carrier-A,997,0.06,0,0
AMZ-EVT-000222,FC-SFO-01,2025-06-14,175,161,558,118,18,Carrier-A,1030,0.1,0,0
AMZ-EVT-000223,FC-BER-01,2025-07-15,186,209,136,227,319,Carrier-B,1077,0.27,0,0
AMZ-EVT-000224,FC-MUM-01,2025-09-15,85,271,471,85,208,Carrier-C,1120,0.22,0,0
AMZ-EVT-000225,FC-MUM-01,2025-05-20,187,368,385,90,139,Carrier-B,1169,0.17,0,0
AMZ-EVT-000226,FC-SFO-01,2025-11-13,21,351,180,211,222,Carrier-D,985,0.2,0,0
AMZ-EVT-000227,FC-BER-01,2025-08-02,134,401,215,86,317,Carrier-A,1153,0.17,0,0
AMZ-EVT-000228,FC-MUM-01,2025-03-28,63,58,419,161,207,Carrier-D,908,0.13,0,0
AMZ-EVT-000229,FC-SFO-01,2025-04-01,105,244,366,165,249,Carrier-A,1129,0.15,0,0
AMZ-EVT-000230,FC-BER-01,2025-02-26,211,204,577,54,155,Carrier-B,1201,0.25,0,0
AMZ-EVT-000231,FC-MUM-01,2025-04-05,103,276,113,70,282,Carrier-E,844,0.09,0,0
AMZ-EVT-000232,FC-SFO-01,2025-09-25,238,254,432,124,121,Carrier-E,1169,0.14,1,0
AMZ-EVT-000233,FC-MUM-01,2025-02-04,79,195,438,69,343,Carrier-A,1124,0.19,0,0
AMZ-EVT-000234,FC-MUM-01,2025-10-09,176,126,73,153,101,Carrier-C,629,0.4,0,0
AMZ-EVT-000235,FC-BER-01,2025-10-15,67,18,456,184,153,Carrier-A,878,0.21,0,0
AMZ-EVT-000236,FC-BER-01,2025-07-06,118,346,547,140,197,Carrier-E,1348,0.06,0,0
AMZ-EVT-000237,FC-BER-01,2025-01-16,49,173,387,177,193,Carrier-C,979,0.24,0,0
AMZ-EVT-000238,FC-MUM-01,2025-10-19,19,383,327,103,43,Carrier-B,875,0.3,0,0
AMZ-EVT-000239,FC-SFO-01,2025-01-24,22,443,485,182,179,Carrier-B,1311,0.14,0,0
AMZ-EVT-000240,FC-BER-01,2025-01-25,218,251,112,152,54,Carrier-D,787,0.22,0,0
AMZ-EVT-000241,FC-BER-01,2025-02-13,164,349,277,76,39,Carrier-D,905,0.14,0,0
AMZ-EVT-000242,FC-BER-01,2025-04-28,210,345,460,231,128,Carrier-C,1374,0.07,0,0
AMZ-EVT-000243,FC-BER-01,2025-08-01,192,86,184,77,90,Carrier-D,629,0.12,0,0
AMZ-EVT-000244,FC-BER-01,2025-11-07,27,462,152,20,254,Carrier-B,915,0.11,0,0
AMZ-EVT-000245,FC-MUM-01,2025-09-10,118,398,477,210,333,Carrier-D,1536,0.06,0,0
AMZ-EVT-000246,FC-MUM-01,2025-03-26,6,15,546,142,314,Carrier-E,1023,0.22,0,0
AMZ-EVT-000247,FC-BER-01,2025-08-20,140,140,438,190,247,Carrier-A,1155,0.11,0,0
AMZ-EVT-000248,FC-BER-01,2025-05-27,209,193,592,199,68,Carrier-E,1261,0.14,0,0
AMZ-EVT-000249,FC-MUM-01,2025-01-25,7,219,129,19,269,Carrier-B,643,0.34,0,0
