Part_Number,Supplier,RFQ_Price,Target_Price,Negotiated_Price,Lead_Time_Days,MOQ,Quality_Score,Tooling_Cost,Yearly_Consumption_Qty,Yearly_Spend,Cost_Savings_Achieved_%
TSL-PART-00069,Supplier-280,258.54,235.05,240.3,14,50,97.4,12788.69,98519,23674115.7,7.06
TSL-PART-00070,Supplier-155,324.16,300.7,270.17,54,50,80.5,8358.47,24388,6588905.96,16.66
TSL-PART-00071,Supplier-026,645.46,599.16,552.74,24,100,96.6,9686.12,191660,105938148.4,14.36
TSL-PART-00072,Supplier-071,542.4,485.68,453.28,102,100,70.5,665.79,52772,23920492.16,16.43
TSL-PART-00073,Supplier-062,341.73,321.49,340.47,46,250,80.8,19363.52,189126,64391729.22,0.37
TSL-PART-00074,Supplier-129,1165.92,1011.03,970.61,101,100,85.8,10333.38,81458,79063949.38,16.75
TSL-PART-00075,Supplier-335,177.78,165.69,159.77,18,50,97.9,18271.02,158471,25318911.67,10.13
TSL-PART-00076,Supplier-009,742.7,632.5,698.39,58,1000,77.7,23431.35,122506,85556965.34,5.97
TSL-PART-00077,Supplier-447,1094.56,972.55,971.42,98,250,85.2,223.13,136715,132807685.3,11.25
TSL-PART-00078,Supplier-238,46.85,43.85,42.41,57,100,86.0,18446.4,63579,2696385.39,9.48
TSL-PART-00079,Supplier-230,767.39,654.93,766.3,64,250,79.9,21998.28,55124,42241521.2,0.14
TSL-PART-00080,Supplier-051,1021.13,914.73,969.64,14,250,73.3,21476.07,63979,62036597.56,5.04
TSL-PART-00081,Supplier-397,54.97,48.7,53.09,25,500,93.1,22943.35,169641,9006240.69,3.42
TSL-PART-00082,Supplier-161,859.63,791.78,747.86,30,500,89.3,4371.27,6944,5193139.84,13.0
TSL-PART-00083,Supplier-094,941.32,868.94,857.45,36,50,75.3,2271.88,187281,160584093.45,8.91
TSL-PART-00084,Supplier-465,85.63,79.04,77.5,38,100,78.1,140.21,6263,485382.5,9.49
TSL-PART-00085,Supplier-466,62.76,55.8,56.36,17,100,75.6,14141.68,64173,3616790.28,10.2
TSL-PART-00086,Supplier-311,583.81,517.66,548.13,85,50,77.3,20650.79,101155,55446090.15,6.11
TSL-PART-00087,Supplier-016,852.49,743.55,810.29,8,500,80.7,17943.87,16280,13191521.2,4.95
TSL-PART-00088,Supplier-214,479.14,416.95,445.72,80,50,82.5,18913.5,174457,77758974.04,6.97
TSL-PART-00089,Supplier-459,988.5,842.95,915.43,72,50,96.5,6961.74,78512,71872240.16,7.39
TSL-PART-00090,Supplier-079,995.4,917.78,938.29,34,500,81.9,22488.43,178540,167522296.6,5.74
TSL-PART-00091,Supplier-061,196.22,167.19,179.64,17,500,84.5,21229.77,61844,11109656.16,8.45
TSL-PART-00092,Supplier-297,89.81,76.99,75.1,33,100,98.7,1954.04,88391,6638164.1,16.38
TSL-PART-00093,Supplier-475,376.76,339.55,327.71,101,50,71.6,21313.28,131856,43210529.76,13.02
TSL-PART-00094,Supplier-072,237.27,220.33,235.82,113,100,77.3,20594.35,97523,22997873.86,0.61
TSL-PART-00095,Supplier-324,961.99,847.14,853.12,78,500,96.1,12269.78,38033,32446712.96,11.32
TSL-PART-00096,Supplier-431,641.76,576.6,612.0,49,500,73.7,17293.14,128222,78471864.0,4.64
TSL-PART-00097,Supplier-480,793.5,680.59,657.68,13,100,85.8,4700.59,182712,120166028.16,17.12
TSL-PART-00098,Supplier-468,910.72,861.38,774.29,31,500,86.5,21152.8,125517,97186557.93,14.98
TSL-PART-00099,Supplier-102,1039.09,938.94,865.14,23,500,95.7,20506.45,106993,92563924.02,16.74
TSL-PART-00100,Supplier-350,692.27,602.38,604.24,64,100,97.2,22379.76,34133,20624523.92,12.72
TSL-PART-00101,Supplier-007,720.26,663.79,597.51,90,500,85.2,579.26,50222,30008147.22,17.04
TSL-PART-00102,Supplier-357,811.98,751.09,718.74,53,50,87.8,21042.36,140282,100826284.68,11.48
TSL-PART-00103,Supplier-069,751.86,666.42,617.21,26,100,81.8,2658.0,120369,74292950.49,17.91
TSL-PART-00104,Supplier-062,1076.44,918.34,1072.82,72,500,73.4,5729.32,177834,190783871.88,0.34
TSL-PART-00105,Supplier-427,95.58,90.29,78.73,72,100,97.1,1159.1,2945,231859.85,17.63
TSL-PART-00106,Supplier-426,352.03,308.46,315.3,96,50,75.5,3371.02,135158,42615317.4,10.43
TSL-PART-00107,Supplier-125,37.88,34.18,36.41,34,50,83.9,15360.15,82410,3000548.1,3.88
TSL-PART-00108,Supplier-274,1043.76,986.94,984.56,84,250,86.1,4196.84,115266,113486292.96,5.67
TSL-PART-00109,Supplier-180,595.57,550.92,511.37,20,1000,79.8,20620.7,32226,16479409.62,14.14
TSL-PART-00110,Supplier-344,993.87,900.83,887.66,21,1000,91.9,7989.22,146231,129803409.46,10.69
TSL-PART-00111,Supplier-354,704.29,652.32,664.62,86,100,90.3,11371.96,79580,52890459.6,5.63
TSL-PART-00112,Supplier-381,138.78,122.19,130.6,115,50,76.4,21397.53,54977,7179996.2,5.89
TSL-PART-00113,Supplier-065,97.25,90.2,95.42,109,500,83.2,10026.02,183186,17479608.12,1.88
TSL-PART-00114,Supplier-185,51.99,45.37,46.66,105,500,95.7,13208.19,193929,9048727.14,10.25
TSL-PART-00115,Supplier-383,345.02,327.51,319.72,64,500,86.8,805.15,83150,26584718.0,7.33
TSL-PART-00116,Supplier-232,1109.22,1008.1,925.4,74,100,76.8,9112.65,141787,131209689.8,16.57
TSL-PART-00117,Supplier-023,901.36,811.73,786.51,25,250,77.4,9320.37,61970,48740024.7,12.74
TSL-PART-00118,Supplier-412,373.6,320.1,349.31,106,50,84.1,20531.81,46203,16139169.93,6.5
TSL-PART-00119,Supplier-362,431.88,410.25,372.96,104,50,94.4,2486.78,187790,70038158.4,13.64
TSL-PART-00120,Supplier-154,694.81,649.22,652.05,53,50,76.5,3039.52,36201,23604862.05,6.15
TSL-PART-00121,Supplier-374,1051.98,928.8,956.44,41,500,74.9,18108.57,136208,130274779.52,9.08
TSL-PART-00122,Supplier-374,917.2,817.94,807.22,12,100,80.0,18810.91,155580,125587287.6,11.99
TSL-PART-00123,Supplier-119,1061.14,961.99,1036.95,78,100,71.7,13067.24,170928,177243789.6,2.28
TSL-PART-00124,Supplier-388,23.27,20.26,20.01,49,1000,95.9,8668.52,115592,2312995.92,14.01
TSL-PART-00125,Supplier-482,1172.34,1082.35,973.24,30,100,84.0,14587.74,75469,73449449.56,16.98
TSL-PART-00126,Supplier-030,296.36,277.61,256.41,105,250,95.9,17578.37,24532,6290250.12,13.48
TSL-PART-00127,Supplier-309,394.24,350.75,361.66,36,250,87.5,3499.63,196950,71228937.0,8.26
TSL-PART-00128,Supplier-115,775.62,695.22,697.37,49,50,91.8,11840.19,176733,123248292.21,10.09
TSL-PART-00129,Supplier-272,984.22,885.9,828.22,98,50,76.2,18299.3,173164,143417888.08,15.85
TSL-PART-00130,Supplier-146,412.67,368.78,393.79,22,1000,71.5,6542.14,69628,27418810.12,4.58
TSL-PART-00131,Supplier-369,832.9,754.19,786.28,27,100,83.9,12922.3,62217,48919982.76,5.6
TSL-PART-00132,Supplier-224,1109.92,1041.29,967.33,103,100,88.9,10377.96,171819,166205673.27,12.85
TSL-PART-00133,Supplier-255,650.66,581.88,600.95,77,50,74.7,2613.1,32618,19601787.1,7.64
TSL-PART-00134,Supplier-101,664.78,630.71,593.53,17,50,73.4,19894.48,186934,110950937.02,10.72
TSL-PART-00135,Supplier-141,847.16,725.14,820.43,97,1000,90.4,2338.19,66346,54432248.78,3.16
TSL-PART-00136,Supplier-187,158.24,136.78,157.87,40,50,73.2,13656.13,152945,24145427.15,0.23
TSL-PART-00137,Supplier-017,856.68,791.79,837.1,101,100,84.1,935.63,98584,82524666.4,2.29
TSL-PART-00138,Supplier-188,196.0,179.37,193.29,119,50,71.7,7533.62,196815,38042371.35,1.38
TSL-PART-00139,Supplier-436,1153.23,1018.8,1129.19,37,500,72.1,78.41,92642,104610419.98,2.08
TSL-PART-00140,Supplier-206,220.57,193.42,217.69,33,100,94.2,23957.67,71026,15461649.94,1.31
TSL-PART-00141,Supplier-449,550.87,483.8,549.68,77,1000,88.5,8320.53,167450,92043916.0,0.22
TSL-PART-00142,Supplier-167,954.49,902.11,878.27,51,500,74.5,24395.26,117437,103141393.99,7.99
TSL-PART-00143,Supplier-423,384.66,344.62,362.19,98,500,71.2,11997.89,159948,57931566.12,5.84
TSL-PART-00144,Supplier-051,630.71,594.86,622.68,18,50,80.3,22683.63,6930,4315172.4,1.27
TSL-PART-00145,Supplier-083,86.6,78.7,85.23,43,50,76.3,4690.24,133829,11406245.67,1.58
TSL-PART-00146,Supplier-234,884.58,762.88,777.9,73,250,85.0,1153.09,107653,83743268.7,12.06
TSL-PART-00147,Supplier-417,130.76,114.37,123.41,51,50,89.7,4450.93,151182,18657370.62,5.62
TSL-PART-00148,Supplier-396,875.43,755.55,801.69,96,1000,77.9,15121.17,137707,110398324.83,8.42
TSL-PART-00149,Supplier-266,150.27,134.92,138.92,62,50,97.5,24111.67,31142,4326246.64,7.55
TSL-PART-00150,Supplier-477,162.5,141.7,136.0,56,500,97.1,1010.14,29798,4052528.0,16.31
TSL-PART-00151,Supplier-347,873.7,792.07,733.28,119,50,70.9,16336.6,95475,70009908.0,16.07
TSL-PART-00152,Supplier-225,394.08,372.79,352.59,56,250,85.5,2585.4,106760,37642508.4,10.53
TSL-PART-00153,Supplier-272,355.77,333.87,299.8,39,500,86.4,13471.81,64236,19257952.8,15.73
TSL-PART-00154,Supplier-188,353.22,315.38,339.85,62,50,78.3,16255.7,151714,51560002.9,3.79
TSL-PART-00155,Supplier-212,707.28,647.86,665.79,34,50,77.7,13975.59,195108,129900955.32,5.87
TSL-PART-00156,Supplier-398,610.08,573.98,572.73,92,250,80.1,13664.71,135366,77528169.18,6.12
TSL-PART-00157,Supplier-334,99.2,87.09,93.4,25,50,83.6,20593.35,154777,14456171.8,5.85
TSL-PART-00158,Supplier-270,782.07,734.33,743.0,114,500,77.9,11225.59,21066,15652038.0,5.0
TSL-PART-00159,Supplier-489,906.88,860.12,895.1,83,500,87.6,1517.39,171801,153779075.1,1.3
TSL-PART-00160,Supplier-460,193.7,180.85,174.79,95,500,96.4,12804.46,161638,28252706.02,9.76
TSL-PART-00161,Supplier-276,279.81,256.99,269.19,74,100,91.2,12479.67,163644,44051328.36,3.8
TSL-PART-00162,Supplier-070,954.56,817.13,876.64,45,100,73.6,20734.1,198499,174012163.36,8.16
TSL-PART-00163,Supplier-158,568.82,493.47,531.35,16,50,71.0,23555.02,166888,88675938.8,6.59
TSL-PART-00164,Supplier-165,395.42,347.53,324.25,112,250,88.7,22899.75,80536,26113798.0,18.0
TSL-PART-00165,Supplier-401,393.89,348.78,388.25,117,50,89.0,21539.59,83819,32542726.75,1.43
TSL-PART-00166,Supplier-190,1162.43,1021.45,961.36,95,500,88.4,10709.01,185978,178791810.08,17.3
TSL-PART-00167,Supplier-415,497.55,434.86,447.66,12,50,73.0,5060.17,23057,10321696.62,10.03
TSL-PART-00168,Supplier-213,872.12,741.89,770.21,60,1000,80.2,4345.97,20697,15941036.37,11.69
TSL-PART-00169,Supplier-390,289.57,259.11,282.51,105,500,75.0,19339.73,74826,21139093.26,2.44
TSL-PART-00170,Supplier-075,571.34,529.07,483.01,50,100,83.8,23819.33,107649,51995543.49,15.46
TSL-PART-00171,Supplier-249,1110.21,1051.18,1087.15,104,100,84.3,18961.07,146567,159340314.05,2.08
TSL-PART-00172,Supplier-300,89.2,82.3,79.7,108,50,70.6,19813.17,41004,3268018.8,10.65
TSL-PART-00173,Supplier-224,110.84,99.42,98.42,65,250,92.3,24112.36,4561,448893.62,11.21
TSL-PART-00174,Supplier-410,801.29,735.83,697.71,25,500,76.6,23390.81,157948,110201899.08,12.93
TSL-PART-00175,Supplier-364,74.21,69.75,71.89,40,1000,97.0,2943.8,45872,3297738.08,3.13
TSL-PART-00176,Supplier-068,549.78,478.04,548.36,86,1000,87.6,21643.26,149357,81901404.52,0.26
TSL-PART-00177,Supplier-457,542.92,484.88,512.36,91,1000,96.3,22559.86,160664,82317807.04,5.63
TSL-PART-00178,Supplier-236,284.72,258.31,283.19,12,500,93.9,2643.97,161381,45701485.39,0.54
TSL-PART-00179,Supplier-367,690.14,629.42,632.51,67,50,85.9,22103.26,125417,79327506.67,8.35
TSL-PART-00180,Supplier-322,740.33,658.35,739.79,10,100,87.4,17593.76,109903,81305140.37,0.07
TSL-PART-00181,Supplier-313,108.02,96.45,106.31,113,100,82.2,17994.64,78291,8323116.21,1.58
TSL-PART-00182,Supplier-026,790.98,682.94,727.69,113,250,81.5,24085.05,181267,131906183.23,8.0
TSL-PART-00183,Supplier-220,1036.53,946.12,944.67,85,100,77.6,9479.71,89505,84552688.35,8.86
TSL-PART-00184,Supplier-155,480.73,412.59,417.51,111,100,73.9,18679.65,14189,5924049.39,13.15
TSL-PART-00185,Supplier-201,18.8,16.7,16.08,60,100,72.1,18291.46,119912,1928184.96,14.47
TSL-PART-00186,Supplier-171,614.5,548.81,594.06,45,250,87.6,19134.94,94255,55993125.3,3.33
TSL-PART-00187,Supplier-384,30.29,27.25,26.86,98,500,87.9,12794.32,60793,1632899.98,11.32
TSL-PART-00188,Supplier-098,1089.54,958.61,1027.5,18,100,77.6,13147.66,105729,108636547.5,5.69
TSL-PART-00189,Supplier-107,537.36,475.49,527.49,93,250,79.2,21625.7,63699,33600585.51,1.84
TSL-PART-00190,Supplier-283,26.84,23.6,25.5,49,50,83.3,5436.01,109854,2801277.0,4.99
TSL-PART-00191,Supplier-373,574.01,539.6,565.85,57,1000,77.6,15430.95,191414,108311611.9,1.42
TSL-PART-00192,Supplier-005,693.79,605.34,571.64,71,250,87.5,12874.08,178512,102044599.68,17.61
TSL-PART-00193,Supplier-054,1088.46,991.69,948.75,15,50,87.9,10368.98,166544,158008620.0,12.84
TSL-PART-00194,Supplier-235,274.18,254.86,264.77,44,250,77.8,22257.49,187322,49597245.94,3.43
TSL-PART-00195,Supplier-043,689.38,653.5,628.71,91,100,89.3,1158.41,93071,58514668.41,8.8
TSL-PART-00196,Supplier-229,642.58,563.92,639.09,76,250,79.8,8928.02,52530,33571397.7,0.54
TSL-PART-00197,Supplier-137,133.58,115.89,117.31,101,50,78.8,18212.06,178989,20997199.59,12.18
TSL-PART-00198,Supplier-262,1154.24,1054.52,1001.84,81,50,88.3,11315.6,30860,30916782.4,13.2
TSL-PART-00199,Supplier-284,372.6,347.16,356.59,44,100,78.2,19719.07,58965,21026329.35,4.3
TSL-PART-00200,Supplier-007,870.3,791.83,826.73,87,250,77.5,12334.28,122486,101262850.78,5.01
TSL-PART-00201,Supplier-339,943.14,877.03,856.88,104,100,95.7,3719.93,57987,49687900.56,9.15
TSL-PART-00202,Supplier-433,829.38,728.21,701.99,114,500,79.8,15929.76,126405,88735045.95,15.36
TSL-PART-00203,Supplier-384,146.16,124.43,134.81,111,100,84.6,8376.73,168271,22684613.51,7.77
TSL-PART-00204,Supplier-348,456.84,431.92,380.78,49,250,95.9,4001.35,1587,604297.86,16.65
TSL-PART-00205,Supplier-027,995.38,904.72,935.79,99,100,72.1,15342.97,158700,148509873.0,5.99
TSL-PART-00206,Supplier-144,987.97,876.76,959.66,59,100,93.9,21136.93,199479,191432017.14,2.87
TSL-PART-00207,Supplier-219,297.2,276.24,276.63,60,1000,71.3,10871.03,143021,39563899.23,6.92
TSL-PART-00208,Supplier-376,648.15,566.71,639.32,101,500,87.0,7538.58,58611,37471184.52,1.36
TSL-PART-00209,Supplier-274,985.46,856.44,906.12,56,50,82.4,23911.27,66374,60142808.88,8.05
TSL-PART-00210,Supplier-364,737.27,686.61,697.83,36,500,97.2,17262.85,110204,76903657.32,5.35
TSL-PART-00211,Supplier-373,259.96,234.77,220.16,41,50,98.5,9528.75,123900,27277824.0,15.31
TSL-PART-00212,Supplier-385,959.59,819.52,833.91,33,1000,95.2,7485.84,63905,53291018.55,13.1
TSL-PART-00213,Supplier-044,998.62,947.49,873.13,62,500,88.3,3519.94,113094,98745764.22,12.57
TSL-PART-00214,Supplier-201,1103.14,952.16,1081.44,89,500,77.7,11601.02,67791,73311899.04,1.97
TSL-PART-00215,Supplier-077,1005.48,914.36,902.61,98,250,95.0,8388.9,3608,3256616.88,10.23
TSL-PART-00216,Supplier-146,762.47,716.01,704.17,11,50,71.3,24887.52,49922,35153574.74,7.65
TSL-PART-00217,Supplier-234,560.89,484.11,560.33,81,100,75.4,10404.66,147851,82845350.83,0.1
TSL-PART-00218,Supplier-272,1197.57,1034.21,1129.13,96,100,78.7,4207.92,116444,131480413.72,5.71
TSL-PART-00219,Supplier-404,1178.07,1043.57,1025.41,76,100,90.1,7037.52,25107,25744968.87,12.96
TSL-PART-00220,Supplier-288,577.3,541.96,479.09,39,250,84.8,123.48,114240,54731241.6,17.01
TSL-PART-00221,Supplier-290,910.98,782.02,862.69,88,500,97.1,13985.64,105434,90956857.46,5.3
TSL-PART-00222,Supplier-162,406.64,351.21,346.01,114,100,79.8,22266.88,78541,27175971.41,14.91
TSL-PART-00223,Supplier-129,236.28,203.76,211.79,76,250,90.2,14809.17,108710,23023690.9,10.36
TSL-PART-00224,Supplier-355,1091.5,988.97,1063.77,36,100,71.1,2113.47,143208,152340374.16,2.54
TSL-PART-00225,Supplier-001,54.94,47.13,49.54,84,50,89.7,19377.48,81928,4058713.12,9.83
TSL-PART-00226,Supplier-141,892.23,832.99,787.61,59,50,82.2,4240.85,173840,136918122.4,11.73
TSL-PART-00227,Supplier-060,1012.7,875.03,874.43,83,250,94.7,6845.56,181333,158563015.19,13.65
TSL-PART-00228,Supplier-156,868.43,794.69,842.79,7,500,87.9,5054.26,6810,5739399.9,2.95
TSL-PART-00229,Supplier-250,1059.35,915.09,979.13,27,50,90.0,23626.07,60757,59489001.41,7.57
TSL-PART-00230,Supplier-136,333.22,300.67,292.25,24,50,94.3,12583.75,13714,4007916.5,12.3
TSL-PART-00231,Supplier-451,943.64,866.04,893.23,108,100,71.0,18396.61,171373,153075504.79,5.34
TSL-PART-00232,Supplier-131,858.44,752.12,707.57,114,50,98.6,20025.62,163009,115340278.13,17.57
TSL-PART-00233,Supplier-386,1182.72,1066.66,1013.92,109,250,76.1,13121.06,63857,64745889.44,14.27
TSL-PART-00234,Supplier-161,1095.62,985.93,1052.73,22,50,75.4,16529.75,119608,125914929.84,3.91
TSL-PART-00235,Supplier-365,80.9,72.19,73.99,11,50,93.2,7161.77,13703,1013884.97,8.54
TSL-PART-00236,Supplier-242,161.72,139.94,139.95,86,500,82.3,24425.03,122121,17090833.95,13.46
TSL-PART-00237,Supplier-315,1198.63,1024.78,1072.07,15,500,75.8,4117.73,143326,153655504.82,10.56
TSL-PART-00238,Supplier-315,738.9,671.63,656.04,111,100,75.3,1633.15,36329,23833277.16,11.21
TSL-PART-00239,Supplier-226,117.48,104.53,110.12,89,100,74.3,8494.8,44645,4916307.4,6.26
TSL-PART-00240,Supplier-429,397.44,359.75,368.01,22,250,82.8,23869.53,63372,23321529.72,7.4
TSL-PART-00241,Supplier-126,462.03,416.52,406.7,39,50,71.7,11998.29,70868,28822015.6,11.98
TSL-PART-00242,Supplier-091,91.23,79.76,86.11,52,500,70.3,1747.8,58344,5024001.84,5.61
TSL-PART-00243,Supplier-175,747.01,654.16,703.11,98,50,93.5,17219.7,86961,61143148.71,5.88
TSL-PART-00244,Supplier-083,1136.99,1003.18,978.9,12,50,86.2,24742.99,93374,91403808.6,13.9
TSL-PART-00245,Supplier-455,844.57,781.96,837.34,113,500,77.5,123.42,158929,133077608.86,0.86
TSL-PART-00246,Supplier-482,1030.92,900.27,868.77,59,500,72.5,11910.74,144842,125834384.34,15.73
TSL-PART-00247,Supplier-225,1109.33,957.34,987.8,68,500,90.0,19870.31,59958,59226512.4,10.96
TSL-PART-00248,Supplier-482,1177.65,1007.28,1106.47,99,1000,93.3,11265.3,138380,153113318.6,6.04
TSL-PART-00249,Supplier-290,974.52,886.61,922.64,69,1000,83.7,8525.02,123428,113879609.92,5.32
